Date,IBM,AWSHX,FXAIX,FPBFX,FBND,FBNDX,FIPDX,FMCSX,FOCPX,FPADX,FSGGX,FSSMX,FTBFX,FSSNX,FTHRX,FTGQX,FXNAX,WSHFX
2014-10-20,107.111542,21.645643,55.658672,15.009519,38.208916,6.277142,7.843031,16.495615,4.386416,7.911699,9.220041,17.660286,8.091285,11.823234,8.913732,9.303832,9.321101,21.602224
2014-10-21,103.393387,22.000401,56.745499,15.145278,38.223293,6.277142,7.819166,16.843733,4.483402,7.943861,9.313647,18.021166,8.083775,12.019908,8.913732,9.526043,9.313182,21.957247
2014-10-22,102.481216,21.828398,56.34206,15.123556,38.202873,6.269247,7.819166,16.63397,4.441007,7.919739,9.266846,17.803495,8.083775,11.845923,8.905646,9.429429,9.305264,21.779741
2014-10-23,102.728264,22.081026,57.033672,15.221305,38.172619,6.261349,7.787346,16.816959,4.509535,7.911699,9.344847,18.015442,8.068748,12.057731,8.889463,9.588842,9.281505,22.032557
2014-10-24,102.664909,22.269154,57.437111,15.259316,38.096966,6.261349,7.787346,16.928535,4.518247,7.935822,9.36825,18.107094,8.068748,12.080423,8.889463,9.670962,9.289419,22.220818
2014-10-27,102.531898,22.231535,57.346546,15.221305,38.202873,6.261349,7.787346,16.883905,4.524635,7.863458,9.329247,18.078451,8.068748,12.072859,8.897557,9.66613,9.289419,22.188553
2014-10-28,103.627747,22.484161,58.02993,15.373354,38.14151,6.253452,7.779391,17.120447,4.616975,8.032305,9.454053,18.38205,8.068748,12.413259,8.889463,9.854526,9.281505,22.435984
2014-10-29,103.539055,22.484161,57.955826,15.367925,38.065746,6.245558,7.771437,17.062429,4.588518,8.048386,9.430654,18.341953,8.053722,12.383,8.873289,9.849696,9.265665,22.441359
2014-10-30,104.102798,22.640038,58.318096,15.433088,38.106644,6.245558,7.771437,17.147224,4.626266,8.112707,9.469654,18.462248,8.061232,12.488905,8.873289,9.898002,9.265665,22.591972
2014-10-31,104.134453,22.88192,59.009712,15.704608,38.020283,6.259009,7.772235,17.348066,4.721509,8.185072,9.59446,18.674192,8.074035,12.678016,8.882199,10.018768,9.285506,22.834038
2014-11-03,104.109108,22.855045,59.001488,15.644873,38.043011,6.259009,7.764279,17.321289,4.72906,8.15291,9.516457,18.685648,8.074035,12.640193,8.8741,10.004275,9.277576,22.80714
2014-11-04,103.025955,22.785168,58.836811,15.655733,38.103626,6.251096,7.764279,17.218639,4.72906,8.144869,9.469654,18.599726,8.066504,12.594805,8.8741,9.980123,9.277576,22.737202
2014-11-05,102.500229,22.908796,59.190865,15.519973,38.053619,6.251096,7.772235,17.281122,4.697118,8.080548,9.485255,18.697104,8.066504,12.609935,8.8741,10.033261,9.277576,22.860928
2014-11-06,102.972176,22.994802,59.429626,15.460239,37.952091,6.243183,7.764279,17.361458,4.711637,7.984064,9.422852,18.811672,8.058974,12.662887,8.865994,10.134704,9.261698,22.946991
2014-11-07,103.361206,23.005545,59.46257,15.433088,37.989983,6.259009,7.804057,17.334675,4.714541,7.992101,9.438454,18.78303,8.074035,12.678016,8.882199,10.067076,9.293443,22.952375
2014-11-10,104.266808,23.048553,59.651932,15.530837,37.959667,6.243183,7.780187,17.3927,4.749387,8.040345,9.485255,18.851768,8.058974,12.746095,8.8741,10.091228,9.269632,23.000784
2014-11-11,104.145668,23.075428,59.693096,15.601431,38.035442,6.243183,7.772235,17.415009,4.780166,8.032305,9.532058,18.863226,8.058974,12.753659,8.865994,10.091228,9.261698,23.027678
2014-11-12,103.265533,23.059303,59.668419,15.596,38.04528,6.243183,7.764279,17.4284,4.781327,8.032305,9.477453,18.880411,8.058974,12.821741,8.865994,10.067076,9.261698,23.011539
2014-11-13,103.820396,23.091551,59.70134,15.63401,37.964222,6.251096,7.756323,17.370382,4.780746,8.016225,9.493055,18.794491,8.058974,12.708272,8.8741,10.018768,9.269632,23.043812
2014-11-14,104.694122,23.102295,59.726036,15.666597,38.020283,6.251096,7.772235,17.3927,4.784812,8.040345,9.524257,18.78303,8.066504,12.693143,8.8741,10.013939,9.277576,23.049196
2014-11-17,104.694122,23.09693,59.775429,15.460239,37.967232,6.243183,7.748371,17.397161,4.756936,7.967983,9.477453,18.760117,8.058974,12.587241,8.8741,9.984955,9.269632,23.049196
2014-11-18,103.246422,23.182932,60.088314,15.487392,38.035442,6.243183,7.756323,17.486422,4.78365,7.992101,9.555459,18.851768,8.058974,12.65532,8.8741,10.067076,9.269632,23.135258
2014-11-19,102.953049,23.177555,60.005974,15.384216,38.035442,6.235271,7.724504,17.432865,4.737771,8.008183,9.539857,18.78303,8.043916,12.519162,8.865994,10.023599,9.261698,23.129885
2014-11-20,102.449203,23.231312,60.129467,15.329912,38.043011,6.243183,7.740415,17.517662,4.766809,8.016225,9.516457,18.874685,8.051442,12.65532,8.865994,10.018768,9.269632,23.178291
2014-11-21,102.627777,23.338808,60.450588,15.405936,38.065746,6.251096,7.764279,17.57122,4.788296,8.16899,9.617862,18.98925,8.066504,12.678016,8.8741,10.086397,9.285506,23.291258
2014-11-24,103.412209,23.349546,60.623505,15.438519,38.103626,6.259009,7.772235,17.664946,4.830691,8.185072,9.641261,19.092358,8.074035,12.836869,8.882199,10.134704,9.285506,23.296633
2014-11-25,103.163483,23.32806,60.565857,15.367925,38.133945,6.266923,7.780187,17.656021,4.835338,8.16899,9.656865,19.075171,8.081575,12.829303,8.890308,10.139535,9.30138,23.275114
2014-11-26,103.28466,23.397928,60.747005,15.438519,38.209873,6.274836,7.788145,17.691725,4.856245,8.209192,9.695866,19.092358,8.0891,12.882256,8.89841,10.16369,9.309312,23.345037
2014-11-28,103.425003,23.311935,60.590557,15.357065,38.263035,6.297043,7.796102,17.584604,4.859148,8.120749,9.602262,18.983521,8.123074,12.693143,8.92277,10.139535,9.352257,23.264351
2014-12-01,103.023186,23.236677,60.178886,15.281038,38.29343,6.28118,7.780187,17.379309,4.769131,7.959941,9.555459,18.777302,8.100425,12.48134,8.914648,10.047753,9.336355,23.183664
2014-12-02,103.743835,23.354937,60.574093,15.335342,38.020016,6.265317,7.73246,17.44179,4.804557,7.943861,9.555459,18.886141,8.077774,12.640193,8.890296,10.10572,9.312501,23.3074
2014-12-03,104.923737,23.397928,60.812862,15.346203,38.13393,6.265317,7.740415,17.57122,4.81443,7.976022,9.563259,19.023617,8.077774,12.753659,8.890296,10.144365,9.304543,23.35041
2014-12-04,104.623962,23.41943,60.747005,15.389646,38.14151,6.273249,7.748371,17.535513,4.81559,7.967983,9.524257,19.000706,8.092873,12.693143,8.898413,10.139535,9.328399,23.36656
2014-12-05,104.126518,23.457058,60.845787,15.324152,38.042801,6.257386,7.708593,17.55337,4.824302,7.943861,9.539857,19.035076,8.070228,12.791479,8.865935,10.176794,9.29659,23.404211
2014-12-08,103.227257,23.290434,60.409435,15.2604,38.073154,6.265317,7.716549,17.397161,4.781327,7.863458,9.454053,18.920509,8.070228,12.63263,8.874054,10.102276,9.312501,23.237463
2014-12-09,103.947922,23.204426,60.401165,15.21403,38.050388,6.265317,7.748371,17.464106,4.828949,7.766973,9.383849,18.977795,8.070228,12.851997,8.882171,10.091632,9.320448,23.156769
2014-12-10,102.366295,22.871168,59.413181,15.057548,38.020016,6.273249,7.756323,17.182934,4.754612,7.686571,9.290245,18.674192,8.077774,12.572114,8.898413,9.926633,9.336355,22.82328
2014-12-11,102.72345,22.941046,59.70134,15.08073,38.010906,6.265317,7.748371,17.232025,4.790619,7.622247,9.259043,18.760117,8.062679,12.63263,8.882171,9.96389,9.328399,22.887817
2014-12-12,99.09462,22.570164,58.738026,14.976406,37.961533,6.28118,7.756323,16.97764,4.733408,7.508189,9.104633,18.513802,8.085329,12.473773,8.906531,9.862761,9.360215,22.522049
